puzzle_id,side_to_move,initial_cp,first_move,branch_1_success,branch_1_cp,branch_2_success,branch_2_cp,pv_is_branch,stockfish_prefers_branch,agrees_with_pv,cp_diff,pv_cp,alt_cp,sf_preferred_cp,pv_advantage,sf_advantage
0hgJT,White,-13,h2g2,True,-550,True,0,1,2,False,550,-550,0,0,-550,0
1zJDp,Black,0,f5g3,True,0,True,667,2,1,False,667,667,0,0,-667,0
2JetC,Black,63,f5b5,True,602,True,-424,1,2,False,1026,602,-424,-424,-602,424
3mLih,White,413,f1f5,True,-68,True,-2331,2,1,False,2263,-2331,-68,-68,-2331,-68
5MHT9,Black,26,f6h4,True,487,True,-25,1,2,False,512,487,-25,-25,-487,25
8I4mT,Black,30000,g8g7,True,-30000,True,-394,1,1,True,29606,-30000,-394,-30000,30000,30000
94W88,Black,-377,h5f3,True,436,True,0,1,2,False,436,436,0,0,-436,0
BXtVX,Black,-446,e7f7,True,-370,True,336,2,1,False,706,336,-370,-370,-336,370
C8TuT,Black,0,e7c5,True,585,True,63,1,2,False,522,585,63,63,-585,-63
CcOcw,Black,-284,c8c5,True,-26,True,806,2,1,False,832,806,-26,-26,-806,26
DhiUK,White,55,e3e4,True,129,True,-682,2,1,False,811,-682,129,129,-682,129
DofbK,Black,-472,f4d2,True,685,True,73,1,2,False,612,685,73,73,-685,-73
Hvqj4,Black,-66,d8h4,True,0,True,792,2,1,False,792,792,0,0,-792,0
IpzPZ,Black,-89,e5f3,True,688,True,0,1,2,False,688,688,0,0,-688,0
JKxFK,Black,0,g7g6,True,5425,True,159,1,2,False,5266,5425,159,159,-5425,-159
KAqBP,Black,-584,c6d8,True,-91,True,631,2,1,False,722,631,-91,-91,-631,91
MMxqC,White,0,g2f2,True,-807,True,805,1,2,False,1612,-807,805,805,-807,805
OG6mG,Black,0,c5d3,True,0,True,788,2,1,False,788,788,0,0,-788,0
OHz0l,White,278,c3e4,True,-723,True,224,1,2,False,947,-723,224,224,-723,224
OTXjy,White,141,g5f4,True,-559,True,-31,1,2,False,528,-559,-31,-31,-559,-31
PKrMW,White,735,c2c6,True,139,True,-447,2,1,False,586,-447,139,139,-447,139
Q1rVf,White,642,d7d6,True,-417,True,382,1,2,False,799,-417,382,382,-417,382
QDLvK,Black,-113,a4b3,True,0,True,944,2,1,False,944,944,0,0,-944,0
R3kqA,Black,0,e5e4,True,-536,True,576,2,1,False,1112,576,-536,-536,-576,536
RK2tO,White,0,c6b4,True,-460,True,-23,1,2,False,437,-460,-23,-23,-460,-23
RlZcx,Black,0,f8g8,True,6,True,477,2,1,False,471,477,6,6,-477,-6
SFvTF,White,1012,g2f1,True,-397,True,790,1,2,False,1187,-397,790,790,-397,790
SYsZk,White,75,f4h4,True,-808,True,27,1,2,False,835,-808,27,27,-808,27
SknMr,Black,-798,b2a1,True,559,True,-181,1,2,False,740,559,-181,-181,-559,181
Xfepi,White,723,b3b4,True,553,True,-395,2,1,False,948,-395,553,553,-395,553
