puzzle_id,side_to_move,sf_agrees_first,sf_first_move,puzzle_first,sf_response_matches,branch_1_score,branch_2_score,better_branch,pv_branch,sf_agrees_with_pv
0hgJT,White,False,Ra1,h2g2,1,-585,0,2,1,False
1zJDp,Black,False,d4,f5g3,2,0,661,1,2,False
2JetC,Black,False,Nd5,f5b5,1,634,-422,2,1,False
3mLih,White,False,Kh1,f1f5,2,-86,-6400,1,2,False
5MHT9,Black,False,Be5,f6h4,1,681,-39,2,1,False
8I4mT,Black,True,Kxg7,g8g7,1,30000,-374,2,1,False
94W88,Black,False,Qb8,h5f3,1,470,0,2,1,False
BXtVX,Black,False,Nef8,e7f7,2,-308,338,1,2,False
C8TuT,Black,False,Qc7,e7c5,1,569,37,2,1,False
CcOcw,Black,False,Qd2+,c8c5,2,-31,753,1,2,False
DhiUK,White,False,Qc3+,e3e4,2,155,-671,1,2,False
DofbK,Black,False,axb5,f4d2,1,639,43,2,1,False
Hvqj4,Black,False,O-O,d8h4,2,0,784,1,2,False
IpzPZ,Black,False,Kf8,e5f3,1,717,0,2,1,False
JKxFK,Black,False,Rh5,g7g6,1,5530,184,2,1,False
KAqBP,Black,False,Bg5,c6d8,2,-64,657,1,2,False
MMxqC,White,False,Kf3,g2f2,1,-807,784,2,1,False
OG6mG,Black,False,f6,c5d3,2,0,790,1,2,False
OHz0l,White,False,Qf8,c3e4,1,-694,222,2,1,False
OTXjy,White,False,g3,g5f4,1,-591,-15,2,1,False
PKrMW,White,False,Bf5,c2c6,2,105,-465,1,2,False
Q1rVf,White,False,Kh2,d7d6,1,-434,381,2,1,False
QDLvK,Black,False,Qa6,a4b3,2,0,947,1,2,False
R3kqA,Black,False,Rh4,e5e4,2,-546,621,1,2,False
RK2tO,White,False,Kf1,c6b4,1,-463,-24,2,1,False
RlZcx,Black,False,Rc8,f8g8,2,0,580,1,2,False
SFvTF,White,False,gxf4,g2f1,1,-419,758,2,1,False
SYsZk,White,False,Nxd7,f4h4,1,-845,10,2,1,False
SknMr,Black,False,Qxd2+,b2a1,1,606,-150,2,1,False
Xfepi,White,False,Rxc3,b3b4,2,548,-439,1,2,False
