cp,prob,branch,is_pv,puzzle_id
-1,0.3749047517776489,1,True,0hgJT
-476,0.3736875057220459,2,False,0hgJT
-645,0.3392634689807892,1,False,1zJDp
27,0.30147477984428406,2,True,1zJDp
3,0.5213490724563599,1,True,2JetC
-1027,0.37743544578552246,2,False,2JetC
-1262,0.5575438737869263,1,False,3mLih
4863,0.30185580253601074,2,True,3mLih
83,0.6266805529594421,1,True,5MHT9
-746,0.3034615218639374,2,False,5MHT9
0,0.455334335565567,1,True,8I4mT
-64,0.45929232239723206,1,True,94W88
-423,0.37261781096458435,2,False,94W88
-670,0.3428226411342621,1,False,BXtVX
-3,0.3426452577114105,2,True,BXtVX
-35,0.3748007118701935,1,True,C8TuT
-513,0.3634270429611206,2,False,C8TuT
-770,0.3744437098503113,1,False,CcOcw
28,0.30701059103012085,2,True,CcOcw
-757,0.47762417793273926,1,False,DhiUK
30,0.3154844045639038,2,True,DhiUK
55,0.4101238548755646,1,True,DofbK
-565,0.3169877231121063,2,False,DofbK
-792,0.47316256165504456,1,False,Hvqj4
15,0.4700026214122772,2,True,Hvqj4
94,0.5050723552703857,1,True,IpzPZ
-597,0.33623459935188293,2,False,IpzPZ
149,0.5332709550857544,1,True,JKxFK
-710,0.35954198241233826,2,False,JKxFK
-728,0.4295273721218109,1,False,KAqBP
-18,0.36519768834114075,2,True,KAqBP
3,0.5444674491882324,1,True,MMxqC
-1576,0.30479076504707336,2,False,MMxqC
-799,0.48634281754493713,1,False,OG6mG
0,0.44601061940193176,2,True,OG6mG
28,0.496305912733078,1,True,OHz0l
-917,0.45594727993011475,2,False,OHz0l
36,0.5915229916572571,1,True,OTXjy
-491,0.3281731903553009,2,False,OTXjy
-569,0.49178194999694824,1,False,PKrMW
21,0.4540117084980011,2,True,PKrMW
54,0.5441545844078064,1,True,Q1rVf
-744,0.3425973355770111,2,False,Q1rVf
-813,0.47047558426856995,1,False,QDLvK
161,0.332432359457016,2,True,QDLvK
-1082,0.39287811517715454,1,False,R3kqA
1,0.3440788984298706,2,True,R3kqA
-3,0.44722557067871094,1,True,RK2tO
-424,0.42940694093704224,2,False,RK2tO
-445,0.5050615072250366,1,False,RlZcx
29,0.31024789810180664,2,True,RlZcx
-22,0.5455363988876343,1,True,SFvTF
-1104,0.366759330034256,2,False,SFvTF
-23,0.39677807688713074,1,True,SYsZk
-844,0.3339295983314514,2,False,SYsZk
-8,0.5730398893356323,1,True,SknMr
-685,0.35337764024734497,2,False,SknMr
-703,0.5627853274345398,1,False,Xfepi
28,0.38291046023368835,2,True,Xfepi
-966,0.32239899039268494,1,False,atfdw
-6,0.30003005266189575,2,True,atfdw
-1154,0.47840452194213867,1,False,bJIOM
29,0.416368305683136,2,True,bJIOM
-8,0.5408507585525513,1,True,bndjD
-628,0.36256805062294006,2,False,bndjD
122,0.48194634914398193,1,True,bpoPm
-715,0.404390811920166,2,False,bpoPm
-541,0.4246353805065155,1,False,dnQCG
5,0.33210423588752747,2,True,dnQCG
4,0.4884013533592224,1,True,fLnuv
-1824,0.3306112587451935,2,False,fLnuv
0,0.3577621579170227,1,True,iEmPE
-727,0.32401740550994873,2,False,iEmPE
3,0.34841758012771606,1,True,inahM
-731,0.3299233317375183,2,False,inahM
-730,0.41862577199935913,1,False,kYRj0
7,0.37819960713386536,2,True,kYRj0
-608,0.3983548879623413,1,False,mjqA5
46,0.39650431275367737,2,True,mjqA5
-1146,0.37997955083847046,1,False,nGHx9
1046,0.3797065019607544,2,True,nGHx9
15,0.4003605544567108,1,True,owQuJ
-746,0.30178362131118774,2,False,owQuJ
-16,0.45913681387901306,1,True,ozSHX
-807,0.3052068054676056,2,False,ozSHX
62,0.46627241373062134,1,True,rOxNu
-762,0.3198559582233429,2,False,rOxNu
-16,0.5470782518386841,1,True,rQOEN
-611,0.32109376788139343,2,False,rQOEN
66,0.5196441411972046,1,True,ry66M
-786,0.3087090253829956,2,False,ry66M
-29,0.5983102917671204,1,True,t0n6c
-646,0.3320133090019226,2,False,t0n6c
0,0.3263493478298187,1,True,tgSWB
0,0.582822322845459,1,True,yNvcQ
