PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,principal_variation,full_pv_probs,full_model_moves,full_wdl,sparring_full_pv_probs,sparring_full_model_moves,sparring_wdl,different_targets,corrupted_fen
001w5,1rb2rk1/q5P1/4p2p/3p3p/3P1P2/2P5/2QK3P/3R2R1 b - - 0 29,f8f7 c2h7 g8h7 g7g8q,1073,77,91,189,advancedPawn attraction mate mateIn2 middlegame promotion short,https://lichess.org/0e1vxAEn/black#57,,"['c2h7', 'g8h7', 'g7g8q']","[0.7599087357521057, 1.0, 0.9156637191772461]","['c2h7', 'g8h7', 'g7g8q']","[0.561260461807251, 0.18697379529476166, 0.25176575779914856]","[0.006373010575771332, 1.0, 0.15674205124378204]","['d1a1', 'g8h7', 'g7g8q']","[0.0053426711820065975, 0.9625791907310486, 0.032078154385089874]",False,1r4k1/q4rP1/2b1p2p/3p3p/3P1P2/2P5/2QK3P/3R2R1 w - - 1 30
00AoZ,8/1R6/p1pk4/6bp/1QP5/P7/KP6/3r2q1 b - - 2 44,g1c5 b7d7 d6d7 b4c5,1023,77,93,3354,advantage deflection endgame short,https://lichess.org/356BAYqk/black#87,,"['b7d7', 'd6d7', 'b4c5']","[0.9532407522201538, 0.8907768130302429, 0.9664063453674316]","['b7d7', 'd6d7', 'b4c5']","[0.8298567533493042, 0.16442830860614777, 0.00571488169953227]","[0.03029155358672142, 0.9142314195632935, 0.8145301938056946]","['b4b3', 'd6d7', 'b4c5']","[0.01180175319314003, 0.947725236415863, 0.04047304391860962]",False,8/1R6/p1pk4/2q4p/1QP5/P6b/KP6/3r4 w - - 3 45
00DTg,r2qk2r/1pp2ppp/p1pb1n2/4P3/3Q4/2N2b2/PPP2PPP/R1B2RK1 w kq - 0 10,e5f6 d6h2 g1h2 d8d4,1071,83,94,2458,crushing discoveredAttack kingsideAttack middlegame short,https://lichess.org/EqbT8Dsc#18,Ruy_Lopez Ruy_Lopez_Exchange_Variation,"['d6h2', 'g1h2', 'd8d4']","[0.8721820116043091, 0.8985828757286072, 0.9378636479377747]","['d6h2', 'g1h2', 'd8d4']","[0.7830476760864258, 0.1093672439455986, 0.10758504271507263]","[0.0486067533493042, 0.9339202642440796, 0.7751473188400269]","['d8f6', 'g1h2', 'd8d4']","[0.021351320669054985, 0.891577959060669, 0.08707072585821152]",False,r2qk2r/1pp2ppp/p1pb1P2/8/8/2N2b2/PPPQ1PPP/R1B2RK1 b kq - 0 10
00NUc,6k1/6pp/1PP5/4b3/3p4/Br5P/4prP1/R5RK w - - 1 30,c6c7 b3h3 g2h3 f2h2,1650,122,81,50,endgame mate mateIn2 sacrifice short,https://lichess.org/8FRZVN6d#58,,"['b3h3', 'g2h3', 'f2h2']","[0.7049347162246704, 1.0, 0.8704535365104675]","['b3h3', 'g2h3', 'f2h2']","[0.24129429459571838, 0.6679720282554626, 0.09073364734649658]","[0.0017951878253370523, 1.0, 0.8596315383911133]","['b3c3', 'g2h3', 'f2h2']","[0.005384400952607393, 0.9865591526031494, 0.008056466467678547]",False,6k1/2P4p/1P6/4b3/3p4/Br5P/4prP1/R5RK b - - 0 30
00aDl,r5k1/1p3p2/2p1ppp1/3p4/2nP4/1QB2B1P/rPP2PP1/qNKR3R w - - 3 22,f3e2 a1b1 c1b1 a2a1,1472,72,96,25026,attraction mate mateIn2 middlegame queensideAttack sacrifice short,https://lichess.org/pc79SSEd#42,,"['a1b1', 'c1b1', 'a2a1']","[0.6281668543815613, 1.0, 0.8651283383369446]","['a1b1', 'c1b1', 'a2a1']","[0.33857184648513794, 0.2207014411687851, 0.44072675704956055]","[0.018683364614844322, 1.0, 0.29043319821357727]","['a8a3', 'c1b1', 'a2a1']","[0.006760983727872372, 0.9543867111206055, 0.03885233402252197]",False,r5k1/1p3p2/2p1ppp1/3p4/2nP4/1QB4P/rP2BPP1/qNKR3R b - - 4 22
00fXf,6k1/5p2/3bbq2/p2p2pp/N2Pn3/P3PN1P/4BPP1/2Q3K1 w - - 0 31,a4c5 d6c5 d4c5 g5g4,2256,80,90,773,advantage middlegame short,https://lichess.org/1Sr4mXWb#60,,"['d6c5', 'd4c5', 'g5g4']","[0.5816659331321716, 0.9274414777755737, 0.9366526007652283]","['d6c5', 'd4c5', 'g5g4']","[0.21482644975185394, 0.6920595765113831, 0.0931139588356018]","[0.026123397052288055, 0.8137387037277222, 0.6690786480903625]","['g5g4', 'd4c5', 'g5g4']","[0.011293768882751465, 0.9667938351631165, 0.021912403404712677]",False,6k1/5p2/3bbq2/p1Np2pp/2nP4/P3PN1P/4BPP1/2Q3K1 b - - 1 31
00pER,r2q1rk1/4N1bp/p2p2p1/2p3N1/Pp4P1/1Q5P/1P1n1P2/5RK1 b - - 0 21,g8h8 b3g8 f8g8 g5f7,1571,86,87,6097,kingsideAttack mate mateIn2 middlegame sacrifice short smotheredMate,https://lichess.org/cQjDrt9I/black#41,,"['b3g8', 'f8g8', 'g5f7']","[0.7922223806381226, 1.0, 0.8862584233283997]","['b3g8', 'f8g8', 'g5f7']","[0.5072552561759949, 0.2178482562303543, 0.2748964726924896]","[0.009658238850533962, 1.0, 0.29794394969940186]","['g5f7', 'f8g8', 'g5f7']","[0.01964268460869789, 0.7687815427780151, 0.21157576143741608]",False,r2q1r1k/4N2p/p2p2p1/2p3N1/Pp4P1/1Q5P/1P1n1P2/b4RK1 w - - 1 22
00uDH,2r5/3k1p2/5Pp1/PP1pP1P1/1K1B3P/5p2/8/8 w - - 1 45,d4c5 c8c5 b4c5 f3f2,1255,75,90,2549,advancedPawn crushing endgame sacrifice short,https://lichess.org/9Hn6Sv3F#88,,"['c8c5', 'b4c5', 'f3f2']","[0.767928421497345, 0.5566245317459106, 0.9792627096176147]","['c8c5', 'b4c5', 'f3f2']","[0.6646662354469299, 0.28963330388069153, 0.045700497925281525]","[0.04754676669836044, 0.807449221611023, 0.5624251365661621]","['d7e6', 'b4c5', 'f3f2']","[0.007486811373382807, 0.9861423373222351, 0.006370897870510817]",False,2r5/3k1pP1/5Pp1/PPBpP1P1/1K5P/5p2/8/8 b - - 2 45
0123H,3r1r1k/5Qpp/1qp3n1/p3p1N1/P2B4/3P4/B1P2P2/R4K2 b - - 2 25,b6d4 f7g8 f8g8 g5f7,1377,98,82,390,mate mateIn2 middlegame sacrifice short smotheredMate,https://lichess.org/6hjQTc1v/black#49,,"['f7g8', 'f8g8', 'g5f7']","[0.5407782196998596, 1.0, 0.8971471190452576]","['f7g8', 'f8g8', 'g5f7']","[0.25094321370124817, 0.31068116426467896, 0.4383755922317505]","[0.030054816976189613, 1.0, 0.35457468032836914]","['f1e2', 'f8g8', 'g5f7']","[0.015672598034143448, 0.8901852965354919, 0.0941421315073967]",False,5r1k/r4Qpp/2p3n1/p3p1N1/P2q4/3P4/B1P2P2/R4K2 w - - 0 26
01JaO,5r1k/pp4p1/b1p1Q2p/3p4/PP1P2P1/6bP/4NPBq/R3RK2 w - - 1 29,f2f3 f8f3 g2f3 h2f2,1704,78,87,69,mate mateIn2 middlegame sacrifice short,https://lichess.org/eYK1wfLO#56,,"['f8f3', 'g2f3', 'h2f2']","[0.743070662021637, 1.0, 0.8439564108848572]","['f8f3', 'g2f3', 'h2f2']","[0.6748777031898499, 0.20673489570617676, 0.1183873638510704]","[0.007150036748498678, 1.0, 0.5900740027427673]","['a6c4', 'g2f3', 'h2f2']","[0.025240583345294, 0.9701886177062988, 0.004570727236568928]",False,5r1k/pp4p1/b1p1Q2p/3p4/PP1P2P1/5PbP/2q1N1B1/R3RK2 b - - 0 29
