PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,principal_variation,sparring_full_pv_probs,sparring_full_model_moves,sparring_wdl,branch_1,branch_2,branch_1_probs,branch_2_probs,full_model_moves,full_pv_probs,corrupted_fen
0hgJT,8/b7/P4k2/1N2p3/8/3r3P/R4p1K/8 w - - 0 50,h2g2 d3g3 g2g3 f2f1q,1699,75,81,63,advancedPawn crushing deflection endgame master promotion short,https://lichess.org/XxLEUNXS#98,,"['d3g3', 'g2g3', 'f2f1q']","[0.07357572019100189, 0.8615356683731079, 0.5593894720077515]","['d3d1', 'g2g3', 'f2f1q']","[0.014359734021127224, 0.9778732061386108, 0.007767041679471731]","['d3g3', 'g2g3', 'f2f1q']","['d3d1', 'a2f2', 'a7f2']","[0.3749047517776489, 0.9617508053779602, 0.9642916917800903]","[0.3736875057220459, 0.9487216472625732, 0.9846161007881165]","['d3g3', 'g2g3', 'f2f1q']","[0.3749047517776489, 0.9617508053779602, 0.9642916917800903]",8/b7/P4k2/1N2p3/8/R2r3P/5pK1/8 b - - 1 50
1zJDp,2k2r1r/2p5/5pp1/2pppn2/Q7/4PqB1/PP3P1P/1K1R2R1 b - - 1 27,f5g3 a4a8 c8d7 d1d5,1962,76,95,12191,advantage middlegame queensideAttack short,https://lichess.org/GA8Jc3Qv/black#53,,"['a4a8', 'c8d7', 'd1d5']","[0.1077740266919136, 1.0, 0.04258124157786369]","['g1g3', 'c8d7', 'a8a4']","[0.012248664163053036, 0.9820663928985596, 0.0056848968379199505]","['g1g3', 'f3e4', 'a4e4']","['a4a8', 'c8d7', 'd1d5']","[0.3392634689807892, 0.9276943802833557, 0.9773395657539368]","[0.30147477984428406, 1.0, 0.7932175397872925]","['g1g3', 'f3e4', 'a4e4']","[0.30147477984428406, 1.0, 0.7932175397872925]",2k2r1r/2p5/5pp1/1Rppp3/Q7/4Pqn1/PP3P1P/1K4R1 w - - 0 28
2JetC,r5k1/5p1p/6p1/1B3q2/P2R1n1P/2B2P2/KP3P2/4R3 b - - 0 33,f5b5 d4d8 a8d8 a4b5,1915,75,78,75,advantage endgame short,https://lichess.org/aDeJsYC1/black#65,,"['d4d8', 'a8d8', 'a4b5']","[0.003927054814994335, 0.9542078375816345, 0.8660981059074402]","['d4f4', 'a8d8', 'a4b5']","[0.004065464250743389, 0.9922393560409546, 0.0036951007787138224]","['d4d8', 'a8d8', 'a4b5']","['d4f4', 'a8a4', 'f4a4']","[0.5213490724563599, 0.9653069376945496, 0.9355279803276062]","[0.37743544578552246, 0.9058992266654968, 0.9847314357757568]","['d4d8', 'a8d8', 'a4b5']","[0.5213490724563599, 0.9653069376945496, 0.9355279803276062]",r1k5/5p1p/6p1/1q6/P2R1n1P/2B2P2/KP3P2/4R3 w - - 0 34
3mLih,3Q4/p4ppk/2N1r3/6rp/1P2p2q/7P/P5P1/2R2RK1 w - - 2 32,f1f5 g5g2 g1g2 e6g6,2356,97,90,1181,attraction crushing middlegame sacrifice short,https://lichess.org/MEcrM7n2#62,,"['g5g2', 'g1g2', 'e6g6']","[0.032271627336740494, 0.7729446887969971, 0.4428814947605133]","['g5f5', 'g1g2', 'e6g6']","[0.0027438101824373007, 0.9955427050590515, 0.0017134509980678558]","['e6c6', 'd8g5', 'h4g5']","['g5g2', 'g1g2', 'e6g6']","[0.5575438737869263, 0.7567914128303528, 0.9383856058120728]","[0.30185580253601074, 0.9773067831993103, 0.9368382692337036]","['e6c6', 'd8g5', 'h4g5']","[0.30185580253601074, 0.9773067831993103, 0.9368382692337036]",3Q4/p4ppk/2N1r3/5Rrp/1P2p2q/7P/P5P1/2RK4 b - - 3 32
5MHT9,8/4p3/1p1pPbpk/pPpP1r1p/P1P1KP1P/5PR1/8/4B3 b - - 38 55,f6h4 g3g6 h6g6 e1h4,1010,83,94,258,crushing discoveredAttack endgame short,https://lichess.org/5LkjT71t/black#109,,"['g3g6', 'h6g6', 'e1h4']","[0.017505118623375893, 0.9499063491821289, 0.7765525579452515]","['g3g1', 'h6g6', 'e1h4']","[0.01847837120294571, 0.9530161023139954, 0.028505558148026466]","['g3g6', 'h6g6', 'e1h4']","['g3g1', 'h4e1', 'g1e1']","[0.6266805529594421, 0.8698269724845886, 0.9306050539016724]","[0.3034615218639374, 0.8903855681419373, 0.9735201597213745]","['g3g6', 'h6g6', 'e1h4']","[0.6266805529594421, 0.8698269724845886, 0.9306050539016724]",8/4p3/1p1pP1pk/pPpP1r1p/P1P1KP2/5PR1/8/4Bb2 w - - 0 56
8I4mT,1r3rk1/pb3pQp/1p6/2p1R3/7P/1P6/PBPq1PP1/4R1K1 b - - 0 19,g8g7 e5g5 g7h6 b2g7,1820,75,95,906,middlegame,https://lichess.org/1AMVO10l/black#37,,"['e5g5', 'g7h6', 'b2g7']","[0.12031206488609314, 1.0, 0.541566014289856]","['e1e2', 'g7h6', 'b2g7']","[0.0038786958903074265, 0.9826149940490723, 0.013506287708878517]","['e5g5', 'g7h6', 'b2g7']","['e5d5', 'd2d4', 'b2d4']","[0.455334335565567, 1.0, 0.8661252856254578]","[0.41387954354286194, 0.7251966595649719, 0.745898425579071]","['e5g5', 'g7h6', 'b2g7']","[0.455334335565567, 1.0, 0.8661252856254578]",5r2/pb3pkp/1p6/2p1R3/7P/1Pr5/PBPq1PP1/4R1K1 w - - 0 20
94W88,5qk1/2p3pp/p1Q5/7b/3P4/2P1RN1P/r7/4K3 b - - 1 32,h5f3 c6c4 g8h8 c4a2,2015,77,92,4375,advantage endgame fork short,https://lichess.org/4Bjnl96v/black#63,,"['c6c4', 'g8h8', 'c4a2']","[0.040972236543893814, 0.6797309517860413, 0.7861647009849548]","['e3f3', 'g8h8', 'c4a2']","[0.0014351039426401258, 0.994997501373291, 0.003567360807210207]","['c6c4', 'g8h8', 'c4a2']","['c6e6', 'f8f7', 'e6c8']","[0.45929232239723206, 0.8729127049446106, 0.9274572730064392]","[0.37261781096458435, 0.9552287459373474, 0.7562703490257263]","['c6c4', 'g8h8', 'c4a2']","[0.45929232239723206, 0.8729127049446106, 0.9274572730064392]",5qk1/2p3pp/p1Q5/8/3P4/2P1R2P/r7/4K1b1 w - - 0 33
BXtVX,r1b3Q1/1ppkq2n/1b1pnr2/pP2p3/2B1P3/2P2N2/P4PPP/R1B2RK1 b - - 4 19,e7f7 f3e5 d6e5 f1d1,2172,107,-19,21,advantage middlegame sacrifice short,https://lichess.org/4osQZkmg/black#37,,"['f3e5', 'd6e5', 'f1d1']","[0.01975644752383232, 0.6058650612831116, 0.2841569781303406]","['g8h8', 'd6e5', 'f1d1']","[0.006899034604430199, 0.9745296239852905, 0.018571315333247185]","['c4e6', 'd7e6', 'g8h7']","['f3e5', 'd6e5', 'f1d1']","[0.3428226411342621, 0.792782187461853, 0.8764235973358154]","[0.3426452577114105, 0.9793969392776489, 0.8610974550247192]","['c4e6', 'd7e6', 'g8h7']","[0.3426452577114105, 0.9793969392776489, 0.8610974550247192]",r3b1Q1/1ppk1q1n/1b1pnr2/pP2p3/2B1P3/2P2N2/P4PPP/R1B2RK1 w - - 5 20
C8TuT,r1qr2k1/1b2bp1p/p3p1p1/8/2P3Q1/1P2BP1P/2B3P1/R2R2K1 b - - 0 21,e7c5 d1d8 c8d8 e3c5,1382,75,76,338,crushing middlegame short,https://lichess.org/PGZmx0hL/black#41,,"['d1d8', 'c8d8', 'e3c5']","[0.08056904375553131, 0.7175204753875732, 0.2573596239089966]","['g4g5', 'c8d8', 'g4f4']","[0.020523710176348686, 0.9621405601501465, 0.01733574829995632]","['d1d8', 'c8d8', 'e3c5']","['g4g5', 'c5e3', 'g5e3']","[0.3748007118701935, 0.7346128821372986, 0.9199163913726807]","[0.3634270429611206, 0.7696963548660278, 0.987490713596344]","['d1d8', 'c8d8', 'e3c5']","[0.3748007118701935, 0.7346128821372986, 0.9199163913726807]",r1qr2k1/1b3p1p/p3pKp1/2b5/2P3Q1/1P2BP1P/2B3P1/R2R4 w - - 1 22
CcOcw,1rrk4/pp3Rpp/3p4/3Q4/4n1P1/1Bq1b3/P1P1K2P/1R6 b - - 3 19,c8c5 d5e6 c3d2 e2f1,2233,104,74,23,crushing middlegame short,https://lichess.org/Rcx1R3PY/black#37,Kings_Gambit_Declined Kings_Gambit_Declined_Classical_Variation,"['d5e6', 'c3d2', 'e2f1']","[0.04071643576025963, 0.8192387819290161, 0.6036356687545776]","['f7f8', 'c3d2', 'e2f1']","[0.0029362747445702553, 0.990816593170166, 0.006247139535844326]","['f7f8', 'd8c7', 'f8f7']","['d5e6', 'c3d2', 'e2f1']","[0.3744437098503113, 0.9497671127319336, 0.8044151663780212]","[0.30701059103012085, 0.7776126265525818, 0.9921736717224121]","['f7f8', 'd8c7', 'f8f7']","[0.30701059103012085, 0.7776126265525818, 0.9921736717224121]",1r1k4/pp3Rpp/3p4/2rQ4/4n1PR/1Bq1b3/P1P1K2P/8 w - - 4 20
