PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,principal_variation,sparring_full_pv_probs,sparring_full_model_moves,sparring_wdl,branch_1,branch_2,branch_1_probs,branch_2_probs,full_model_moves,full_pv_probs,corrupted_fen
05FjS,8/r3k1p1/4p3/ppQb2N1/2pP2pP/2P5/PP1q1rP1/1K2R2R b - - 8 29,e7f6 e1e6 d5e6 g5e4,2349,81,91,3352,crushing middlegame sacrifice short,https://lichess.org/O5HI5aWc/black#57,,"['e1e6', 'd5e6', 'g5e4']","[0.01995059661567211, 0.7093202471733093, 0.4886840581893921]","['g5h7', 'd5e6', 'g5e4']","[0.006108925677835941, 0.9903343319892883, 0.0035567539744079113]","['e1e6', 'd5e6', 'g5e4']","['c5f8', 'f6g6', 'f8e8']","[0.5464942455291748, 0.9044261574745178, 0.8126875758171082]","[0.3530701994895935, 0.9885769486427307, 0.7359455823898315]","['e1e6', 'd5e6', 'g5e4']","[0.5464942455291748, 0.9044261574745178, 0.8126875758171082]",8/r5p1/4pk2/ppQb4/2pP2pP/2P5/PP1q1rP1/1K2R1NR w - - 9 30
08BnT,r1bqr3/2p2k1p/ppP1p3/4Qp2/1P1P4/P6P/6P1/R4RK1 b - - 3 25,d8d5 f1f5 e6f5 e5d5,1692,75,97,9431,crushing deflection middlegame short,https://lichess.org/yKG3t6VW/black#49,,"['f1f5', 'e6f5', 'e5d5']","[0.021053554490208626, 0.5711629390716553, 0.6991804838180542]","['e5c7', 'e6f5', 'e5d5']","[0.002352808602154255, 0.9912301301956177, 0.006417023483663797]","['f1f5', 'e6f5', 'e5d5']","['e5c7', 'e8e7', 'c7b6']","[0.5728954672813416, 0.8765695691108704, 0.9236931204795837]","[0.3421112895011902, 0.7138509154319763, 0.8737810850143433]","['f1f5', 'e6f5', 'e5d5']","[0.5728954672813416, 0.8765695691108704, 0.9236931204795837]",r3r3/2p2k1p/ppP1p3/3qQp2/1P1P4/P6P/b5P1/R4RK1 w - - 4 26
09WQ2,2R5/5pk1/8/1pp3p1/3pQ2b/1P1P2qP/1BP2rB1/6KR w - - 3 29,c8c5 f2f1 g1f1 g3f2,1958,83,87,121,attraction mate mateIn2 middlegame pin sacrifice short,https://lichess.org/JWrw0RWl#56,,"['f2f1', 'g1f1', 'g3f2']","[0.015873856842517853, 1.0, 0.40372392535209656]","['g7h6', 'g1f1', 'g3f2']","[0.006394948344677687, 0.9716702699661255, 0.021934861317276955]","['f2f1', 'g1f1', 'g3f2']","['f2g2', 'e4g2', 'g3e3']","[0.481805682182312, 1.0, 0.9152517318725586]","[0.445944219827652, 0.9935239553451538, 0.8980711698532104]","['f2f1', 'g1f1', 'g3f2']","[0.481805682182312, 1.0, 0.9152517318725586]",8/5pk1/8/1pR3p1/3pQ2b/1P1P2qP/1BP2rB1/4K2R b - - 0 29
0hgJT,8/b7/P4k2/1N2p3/8/3r3P/R4p1K/8 w - - 0 50,h2g2 d3g3 g2g3 f2f1q,1699,75,81,63,advancedPawn crushing deflection endgame master promotion short,https://lichess.org/XxLEUNXS#98,,"['d3g3', 'g2g3', 'f2f1q']","[0.07357572019100189, 0.8615356683731079, 0.5593894720077515]","['d3d1', 'g2g3', 'f2f1q']","[0.014359734021127224, 0.9778732061386108, 0.007767041679471731]","['d3g3', 'g2g3', 'f2f1q']","['d3d1', 'a2f2', 'a7f2']","[0.3749047517776489, 0.9617508053779602, 0.9642916917800903]","[0.3736875057220459, 0.9487216472625732, 0.9846161007881165]","['d3g3', 'g2g3', 'f2f1q']","[0.3749047517776489, 0.9617508053779602, 0.9642916917800903]",8/b7/P4k2/1N2p3/8/R2r3P/5pK1/8 b - - 1 50
0i1wa,8/p7/1p3Q2/q1rp4/1Rk5/2P1p3/2K5/8 b - - 7 47,a5b4 f6f1 e3e2 f1e2,2160,84,84,95,endgame mate mateIn2 short,https://lichess.org/DFWU3hdQ/black#93,,"['f6f1', 'e3e2', 'f1e2']","[0.044448960572481155, 1.0, 0.25001826882362366]","['c3b4', 'e3e2', 'f1f4']","[0.002942552324384451, 0.9911822080612183, 0.005875220987945795]","['f6d4', 'c4b5', 'd4b4']","['f6f1', 'e3e2', 'f1e2']","[0.515216052532196, 1.0, 0.9499163627624512]","[0.3734119236469269, 1.0, 0.8744698166847229]","['f6d4', 'c4b5', 'd4b4']","[0.3734119236469269, 1.0, 0.8744698166847229]",8/p7/1p1K1Q2/2rp4/1qk5/2P1p3/8/8 w - - 0 48
0r3GQ,6k1/p1qn2pp/2p5/Np4B1/1P1PQ3/2PB2rb/P4P2/R4RK1 w - - 2 24,g1h2 g3g2 h2h3 c7h2,2001,75,95,8474,doubleCheck fork mate mateIn2 middlegame sacrifice short,https://lichess.org/vkKxijfH#46,,"['g3g2', 'h2h3', 'c7h2']","[0.022520948201417923, 0.5998198390007019, 0.2602497935295105]","['h3f5', 'h2h3', 'c7h2']","[0.0062455469742417336, 0.9622871279716492, 0.03146728500723839]","['g3g2', 'h2h3', 'c7h2']","['g3g5', 'f2f4', 'd7f6']","[0.5512388944625854, 0.8842640519142151, 0.9235498309135437]","[0.3437834084033966, 0.8014407157897949, 0.7242242097854614]","['g3g2', 'h2h3', 'c7h2']","[0.5512388944625854, 0.8842640519142151, 0.9235498309135437]",6k1/p1qn2pp/2p5/Np4B1/1P1PQR2/2PB2rb/P4P1K/5R2 b - - 3 24
0uAkj,3q1rk1/p1p2ppp/8/4P3/Q2b1B2/2N4P/P1r2PP1/3R2K1 b - - 1 18,d4f2 g1f1 d8h4 a4c2,2048,78,92,6437,advantage defensiveMove middlegame short,https://lichess.org/TqpnAkUm/black#35,Scotch_Game Scotch_Game_Scotch_Gambit,"['g1f1', 'd8h4', 'a4c2']","[0.1465279459953308, 0.08237626403570175, 0.28401222825050354]","['g1h2', 'c2c3', 'a4c2']","[0.0006134504219517112, 0.9980096220970154, 0.001377008156850934]","['g1f1', 'd8h4', 'a4c2']","['g1h1', 'c2c3', 'd1d8']","[0.5148255825042725, 0.7363388538360596, 0.9160007834434509]","[0.33481118083000183, 0.7582377195358276, 0.9097540974617004]","['g1f1', 'd8h4', 'a4c2']","[0.5148255825042725, 0.7363388538360596, 0.9160007834434509]",3q1rk1/p1p2ppp/4N3/4P3/Q4B2/7P/P1r2bP1/3R2K1 w - - 0 19
0wSGo,6k1/1Q2pq1p/p5p1/4B3/P7/7P/2Pr2PK/8 b - - 0 31,d2c2 b7b8 f7f8 b8b3,1304,75,91,1040,crushing endgame short,https://lichess.org/hjnATzQT/black#61,,"['b7b8', 'f7f8', 'b8b3']","[0.4060099422931671, 0.9915366172790527, 0.9524512887001038]","['b7a8', 'f7f8', 'b8b3']","[0.0031623642425984144, 0.9882309436798096, 0.00860670953989029]","['b7b8', 'f7f8', 'b8b3']","['b7a8', 'f7f8', 'a8d5']","[0.5434697866439819, 0.8153239488601685, 0.9268794059753418]","[0.3660319149494171, 0.9891225695610046, 0.9394844770431519]","['b7b8', 'f7f8', 'b8b3']","[0.5434697866439819, 0.8153239488601685, 0.9268794059753418]",6k1/1Q2pq1p/p3p1p1/4B3/P7/7P/2r3PK/8 w - - 0 32
125Zx,r2qr1k1/p4ppp/2Q5/8/6n1/2N5/PP3PPK/R1BR4 w - - 0 18,h2g1 d8d1 c3d1 e8e1,717,77,99,1419,mate mateIn2 middlegame sacrifice short,https://lichess.org/GhImyUaN#34,Elephant_Gambit Elephant_Gambit_Paulsen_Countergambit,"['d8d1', 'c3d1', 'e8e1']","[0.0014305077493190765, 1.0, 0.2543632686138153]","['d8h4', 'c3d1', 'e8e1']","[0.006866309326142073, 0.9612799882888794, 0.031853631138801575]","['d8d1', 'c3d1', 'e8e1']","['d8h4', 'c1e3', 'h4h2']","[0.4911378026008606, 1.0, 0.824036717414856]","[0.4118536710739136, 0.7317200899124146, 0.8356274962425232]","['d8d1', 'c3d1', 'e8e1']","[0.4911378026008606, 1.0, 0.824036717414856]",r2qr1k1/p4ppp/8/8/6n1/2N5/PP3PP1/R1BR1QK1 b - - 1 18
12Uzd,2r2b1r/p4kpp/1qp1Rnb1/8/2Q3P1/2N4P/PP1P1P2/R1B3K1 b - - 2 17,b6b4 e6e7 f7e7 c4b4,1965,77,94,12362,attraction crushing doubleCheck interference middlegame short,https://lichess.org/bErwLwAj/black#33,Caro-Kann_Defense Caro-Kann_Defense_Accelerated_Panov_Attack,"['e6e7', 'f7e7', 'c4b4']","[0.012848029844462872, 1.0, 0.5392000079154968]","['e6c6', 'f7e7', 'c4b4']","[0.004368269816040993, 0.9884462356567383, 0.007185505237430334]","['e6f6', 'f7f6', 'g4g5']","['e6e7', 'f7e7', 'c4b4']","[0.5291149020195007, 0.9706235527992249, 0.7376832365989685]","[0.3198028802871704, 1.0, 0.9156503677368164]","['e6f6', 'f7f6', 'g4g5']","[0.3198028802871704, 1.0, 0.9156503677368164]",2r2b1r/p4kpp/2p1Rnb1/8/2Q3P1/2Nq3P/PP1P1P2/R1B3K1 w - - 3 18
